diseases,workout
panic disorder,"1. Practice daily deep breathing exercises, 2. Engage in moderate aerobic activity like walking for 30 minutes, 3. Perform progressive muscle relaxation, 4. Try yoga or tai chi for stress reduction."
vocal cord polyp,"1. Perform gentle humming and lip trills as voice therapy, 2. Engage in light walking to promote circulation, 3. Practice diaphragmatic breathing, 4. Avoid strenuous vocal or physical strain."
turner syndrome,"1. Perform weight-bearing exercises like walking for bone health, 2. Engage in swimming for low-impact cardio, 3. Try resistance band training under guidance, 4. Practice balance exercises."
cryptorchidism,"1. Perform gentle abdominal strengthening post-surgery, 2. Engage in light walking, 3. Try pelvic floor exercises if advised, 4. Avoid heavy lifting until cleared."
poisoning due to ethylene glycol,"1. Engage in light walking once stable, 2. Perform deep breathing for recovery, 3. Try gentle stretching, 4. Avoid strenuous activity during acute phase."
atrophic vaginitis,"1. Perform daily Kegel exercises, 2. Engage in yoga for pelvic floor, 3. Try light walking, 4. Practice gentle stretching."
fracture of the hand,"1. Perform finger range-of-motion exercises once cleared, 2. Engage in gentle hand therapy, 3. Try grip strengthening later, 4. Avoid weight-bearing until healed."
cellulitis or abscess of mouth,"1. Perform gentle jaw opening exercises post-drainage, 2. Engage in light walking, 3. Try breathing exercises, 4. Avoid strenuous activity."
eye alignment disorder,"1. Perform eye muscle exercises or patching as prescribed, 2. Engage in convergence training, 3. Try balance activities, 4. Practice visual tracking."
headache after lumbar puncture,"1. Perform gentle neck stretches once headache subsides, 2. Engage in light walking, 3. Try deep breathing, 4. Avoid bending or lifting."
pyloric stenosis,"1. Perform gentle tummy time post-surgery, 2. Engage in infant massage, 3. Try supervised movement, 4. Avoid vigorous activity."
salivary gland disorder,"1. Perform facial massage and jaw exercises, 2. Engage in light walking, 3. Try deep breathing, 4. Avoid straining."
osteochondrosis,"1. Perform low-impact swimming, 2. Engage in cycling, 3. Try physical therapy stretches, 4. Avoid high-impact sports."
injury to the knee,"1. Perform quadriceps strengthening once cleared, 2. Engage in swimming, 3. Try stationary bike, 4. Practice balance exercises."
metabolic disorder,"1. Perform moderate aerobic exercise like walking, 2. Engage in strength training as tolerated, 3. Try yoga, 4. Avoid overexertion."
vaginitis,"1. Perform Kegel exercises, 2. Engage in light walking, 3. Try pelvic floor yoga, 4. Practice gentle stretching."
sick sinus syndrome,"1. Perform light walking, 2. Engage in chair exercises, 3. Try deep breathing, 4. Avoid intense cardio until pacemaker stable."
tinnitus of unknown cause,"1. Perform relaxation exercises like yoga, 2. Engage in moderate walking, 3. Try neck stretches, 4. Practice mindfulness."
glaucoma,"1. Perform moderate aerobic exercise like walking, 2. Engage in yoga (avoid inversions), 3. Try swimming, 4. Practice eye relaxation techniques."
eating disorder,"1. Perform gentle walking, 2. Engage in yoga for body awareness, 3. Try light stretching, 4. Avoid intense exercise."
transient ischemic attack,"1. Perform moderate walking, 2. Engage in balance exercises, 3. Try swimming, 4. Practice chair yoga."
pyelonephritis,"1. Perform light walking once fever subsides, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid strenuous activity."
rotator cuff injury,"1. Perform pendulum exercises, 2. Engage in physical therapy stretches, 3. Try resistance bands later, 4. Avoid overhead motions."
chronic pain disorder,"1. Perform gentle walking, 2. Engage in yoga or tai chi, 3. Try swimming, 4. Practice stretching."
problem during pregnancy,"1. Perform prenatal yoga, 2. Engage in walking, 3. Try swimming, 4. Practice pelvic floor exercises."
liver cancer,"1. Perform light walking, 2. Engage in chair exercises, 3. Try gentle stretching, 4. Avoid heavy lifting."
atelectasis,"1. Perform deep breathing and coughing exercises, 2. Engage in incentive spirometry, 3. Try walking, 4. Practice position changes."
injury to the hand,"1. Perform finger exercises once cleared, 2. Engage in hand therapy, 3. Try grip strengthening, 4. Avoid impact."
choledocholithiasis,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid abdominal strain."
injury to the hip,"1. Perform hip strengthening once cleared, 2. Engage in swimming, 3. Try stationary bike, 4. Practice balance."
cirrhosis,"1. Perform light walking, 2. Engage in chair yoga, 3. Try breathing exercises, 4. Avoid heavy lifting."
thoracic aortic aneurysm,"1. Perform moderate walking, 2. Engage in light resistance, 3. Try swimming, 4. Avoid heavy lifting or straining."
subdural hemorrhage,"1. Perform gentle walking once stable, 2. Engage in physical therapy, 3. Try balance exercises, 4. Avoid contact sports."
diabetic retinopathy,"1. Perform moderate walking, 2. Engage in swimming, 3. Try yoga, 4. Practice eye exercises if prescribed."
fibromyalgia,"1. Perform gentle walking, 2. Engage in yoga or tai chi, 3. Try swimming, 4. Practice stretching."
ischemia of the bowel,"1. Perform light walking once stable, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid abdominal exercises."
fetal alcohol syndrome,"1. Perform developmental play exercises, 2. Engage in physical therapy, 3. Try balance activities, 4. Practice motor skills."
peritonitis,"1. Perform deep breathing once stable, 2. Engage in light walking, 3. Try gentle stretching, 4. Avoid core exercises."
injury to the abdomen,"1. Perform light walking, 2. Engage in breathing exercises, 3. Try gentle stretching, 4. Avoid heavy lifting."
acute pancreatitis,"1. Perform light walking once stable, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid abdominal strain."
thrombophlebitis,"1. Perform ankle pumps and leg elevation exercises, 2. Engage in walking, 3. Try compression-assisted movement, 4. Avoid prolonged standing."
asthma,"1. Perform breathing exercises, 2. Engage in swimming, 3. Try yoga, 4. Practice pursed-lip breathing."
foreign body in the vagina,"1. Perform Kegel exercises after removal, 2. Engage in light walking, 3. Try pelvic floor therapy, 4. Avoid heavy lifting."
restless leg syndrome,"1. Perform daily leg stretches, 2. Engage in moderate walking, 3. Try yoga, 4. Practice relaxation exercises."
emphysema,"1. Perform pursed-lip breathing, 2. Engage in pulmonary rehabilitation walking, 3. Try arm ergometer, 4. Practice diaphragmatic breathing."
cysticercosis,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try balance exercises if neuro, 4. Avoid strenuous activity."
induced abortion,"1. Perform light walking after recovery, 2. Engage in gentle stretching, 3. Try pelvic floor exercises, 4. Avoid heavy lifting."
teething syndrome,"1. Perform gentle infant movement, 2. Engage in tummy time, 3. Try supervised play, 4. Avoid vigorous activity."
infectious gastroenteritis,"1. Perform light walking once rehydrated, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid strenuous activity."
acute sinusitis,"1. Perform gentle neck stretches, 2. Engage in light walking, 3. Try yoga, 4. Practice steam inhalation movement."
substance-related mental disorder,"1. Perform moderate aerobic exercise, 2. Engage in yoga, 3. Try strength training, 4. Practice mindfulness walking."
postpartum depression,"1. Perform gentle walking with baby, 2. Engage in postpartum yoga, 3. Try pelvic floor exercises, 4. Practice breathing."
coronary atherosclerosis,"1. Perform moderate walking, 2. Engage in cardiac rehab, 3. Try swimming, 4. Practice light resistance."
spondylitis,"1. Perform daily spinal extension, 2. Engage in swimming, 3. Try yoga, 4. Practice posture exercises."
pituitary adenoma,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try balance exercises, 4. Avoid heavy lifting."
uterine fibroids,"1. Perform pelvic floor exercises, 2. Engage in light walking, 3. Try yoga, 4. Practice gentle core."
idiopathic nonmenstrual bleeding,"1. Perform light walking, 2. Engage in yoga, 3. Try pelvic floor, 4. Avoid high-impact."
chalazion,"1. Perform gentle eye massage, 2. Engage in light walking, 3. Try blinking exercises, 4. Avoid eye strain."
ovarian torsion,"1. Perform light walking post-surgery, 2. Engage in gentle stretching, 3. Try pelvic floor, 4. Avoid heavy lifting."
retinopathy due to high blood pressure,"1. Perform moderate walking, 2. Engage in swimming, 3. Try yoga, 4. Practice balance."
vaginal yeast infection,"1. Perform Kegel exercises, 2. Engage in light walking, 3. Try yoga, 4. Practice pelvic floor."
mastoiditis,"1. Perform light walking, 2. Engage in gentle neck stretches, 3. Try deep breathing, 4. Avoid straining."
lung contusion,"1. Perform deep breathing exercises, 2. Engage in incentive spirometry, 3. Try walking, 4. Practice coughing."
