diseases,medication
panic disorder,"sertraline, paroxetine,alprazolam,clonazepam,venlafaxine,propranolol,escitalopram"
vocal cord polyp,"prednisone (short course), omeprazole (if reflux),no primary drug list (voice rest primary),fluticasone nasal spray"
turner syndrome,"somatropin (growth hormone), estradiol,progesterone,levothyroxine (if thyroid involved),calcium + vitamin D"
cryptorchidism,"hCG injection, testosterone enanthate,gonadorelin analogs,surgical correction primary"
poisoning due to ethylene glycol,"fomepizole, ethanol (IV),sodium bicarbonate,thiamine,pyridoxine,hemodialysis supportive"
atrophic vaginitis,"estradiol vaginal cream, ospemifene,prasterone vaginal insert,vaginal moisturizer (non-hormonal)"
fracture of the hand,"acetaminophen, ibuprofen,oxytocin (short-term opioid if severe),calcium + vitamin D"
cellulitis or abscess of mouth,"amoxicillin-clavulanate, clindamycin,metronidazole,acetaminophen,drainage primary"
eye alignment disorder,"atropine eye drops, botulinum toxin injection,prism glasses (no drug),surgery primary"
headache after lumbar puncture,"caffeine (oral/IV), acetaminophen,ibuprofen,theophylline,epidural blood patch"
pyloric stenosis,"IV fluids + electrolytes (supportive), no primary medication,surgical pyloromyotomy"
salivary gland disorder,"amoxicillin-clavulanate, pilocarpine,ibuprofen,prednisone (inflammatory)"
osteochondrosis,"ibuprofen, naproxen,acetaminophen,chondroitin + glucosamine (supportive)"
injury to the knee,"ibuprofen, acetaminophen,corticosteroid injection (intra-articular),opioid short-term"
metabolic disorder,"metformin (if diabetic component), insulin,levocarnitine,vitamin supplements (tailored)"
vaginitis,"metronidazole (oral/gel), clotrimazole,fluconazole,tinidazole"
sick sinus syndrome,"atropine (acute bradycardia), theophylline,pacemaker primary (no chronic drug list)"
tinnitus of unknown cause,"amitriptyline, alprazolam,ginkgo biloba (limited evidence),no curative drug"
glaucoma,"timolol eye drops, latanoprost eye drops,dorzolamide eye drops,brimonidine eye drops,acetazolamide"
eating disorder,"fluoxetine, olanzapine,cyproheptadine,nutritional supplements (multivitamin)"
transient ischemic attack,"aspirin, clopidogrel,atorvastatin,heparin (acute)"
pyelonephritis,"ciprofloxacin, ceftriaxone,levofloxacin,trimethoprim-sulfamethoxazole"
rotator cuff injury,"ibuprofen, acetaminophen,corticosteroid injection,opioid short-term"
chronic pain disorder,"duloxetine, gabapentin,pregabalin,tramadol,amitriptyline"
problem during pregnancy,"prenatal vitamins, folic acid,iron sulfate,labetalol (if hypertensive)"
liver cancer,"sorafenib, lenvatinib,atezolizumab + bevacizumab,supportive (pain meds)"
atelectasis,"bronchodilators (albuterol), acetylcysteine,mucolytics,oxygen supportive"
injury to the hand,"acetaminophen, ibuprofen,opioid short-term,antibiotics if open wound"
choledocholithiasis,"ursodeoxycholic acid, antibiotics (if cholangitis),ERCP primary"
injury to the hip,"ibuprofen, acetaminophen,corticosteroid injection,opioid short-term"
cirrhosis,"lactulose, spironolactone,furosemide,propranolol,rifaximin"
thoracic aortic aneurysm,"beta-blockers (metoprolol), losartan,statins (atorvastatin),surgical repair"
subdural hemorrhage,"mannitol (if raised ICP), anticonvulsants (levetiracetam),surgical evacuation"
diabetic retinopathy,"ranibizumab injection, bevacizumab,laser therapy,anti-VEGF"
fibromyalgia,"duloxetine, pregabalin,gabapentin,milnacipran,amitriptyline"
ischemia of the bowel,"antibiotics (broad-spectrum), heparin,supportive fluids,surgery"
fetal alcohol syndrome,"no specific medication, supportive (multivitamins),thiamine"
peritonitis,"cefotaxime + metronidazole, piperacillin-tazobactam,vancomycin (if MRSA),fluids"
injury to the abdomen,"acetaminophen, ibuprofen,opioid short-term,antibiotics if perforation"
acute pancreatitis,"IV fluids, opioid analgesics (meperidine),antiemetics (ondansetron)"
thrombophlebitis,"heparin, enoxaparin,warfarin or DOAC (rivaroxaban)"
asthma,"albuterol, fluticasone + salmeterol,montelukast,prednisone (exacerbation)"
foreign body in the vagina,"antibiotics (if infection), estrogen cream (postmenopausal),removal primary"
restless leg syndrome,"pramipexole, ropinirole,gabapentin,enacarbil,iron sulfate (if deficient)"
emphysema,"tiotropium, albuterol,salmeterol + fluticasone,roflumilast"
cysticercosis,"albendazole, praziquantel,steroids (dexamethasone),antiepileptics"
induced abortion,"mifepristone + misoprostol, antibiotics (doxycycline prophylactic)"
teething syndrome,"acetaminophen, ibuprofen,topical benzocaine (limited)"
infectious gastroenteritis,"oral rehydration salts, loperamide (non-bloody),antibiotics if bacterial"
acute sinusitis,"amoxicillin-clavulanate, cefuroxime,acetaminophen,pseudoephedrine"
substance-related mental disorder,"naltrexone (alcohol/opioid), buprenorphine,disulfiram,acamprosate"
postpartum depression,"sertraline, fluoxetine,brexanolone (IV),cognitive therapy adjunct"
coronary atherosclerosis,"aspirin, atorvastatin,metoprolol,clopidogrel,ramipril"
spondylitis,"indomethacin, sulfasalazine,etanercept,secukinumab"
pituitary adenoma,"cabergoline (prolactinoma), octreotide,hydrocortisone (if deficient)"
uterine fibroids,"tranexamic acid, levonorgestrel IUD,ulipristal acetate,NSAIDs"
idiopathic nonmenstrual bleeding,"tranexamic acid, combined oral contraceptives,progestin"
chalazion,"erythromycin ointment, warm compress (no drug),steroid injection if persistent"
ovarian torsion,"antibiotics (prophylactic), pain meds (opioids),surgical detorsion"
retinopathy due to high blood pressure,"lisinopril, amlodipine,losartan,anti-VEGF if advanced"
vaginal yeast infection,"fluconazole, clotrimazole cream,miconazole,terconazole"
mastoiditis,"ceftriaxone, vancomycin (if resistant),ciprofloxacin + metronidazole"
lung contusion,"oxygen, analgesics (acetaminophen),antibiotics if infection develops"
hypertrophic obstructive cardiomyopathy (hocm),"metoprolol, verapamil,disopyramide"
ingrown toe nail,"antibiotics (if infected), acetaminophen,soaks (no drug)"
pulmonary eosinophilia,"prednisone, albendazole (if parasitic),montelukast"
corneal disorder,"erythromycin ointment, tobramycin drops,cyclosporine eye drops"
foreign body in the gastrointestinal tract,"no medication (endoscopic removal), laxatives if needed"
endophthalmitis,"vancomycin + ceftazidime (intravitreal), systemic antibiotics"
intestinal malabsorption,"pancrelipase, vitamin B12,folate,calcium + vitamin D"
viral warts,"imiquimod cream, salicylic acid,podophyllin,cryotherapy (no drug)"
hyperhidrosis,"aluminum chloride solution, glycopyrrolate,botulinum toxin injections"
stroke,"aspirin, alteplase (acute),clopidogrel,atorvastatin"
pilonidal cyst,"antibiotics (if infected), acetaminophen,incision and drainage"
crushing injury,"antibiotics (broad), tetanus toxoid,analgesics,fluids"
normal pressure hydrocephalus,"acetazolamide (trial), furosemide,shunt surgery primary"
alopecia,"minoxidil, finasteride,corticosteroids (topical/injection)"
hashimoto thyroiditis,levothyroxine
flat feet,"NSAIDs (ibuprofen), orthotics (no drug)"
nonalcoholic liver disease (nash),"vitamin E, pioglitazone,obeticholic acid,lifestyle primary"
hemarthrosis,"acetaminophen, tranexamic acid,factor replacement (if hemophilia)"
pelvic organ prolapse,"estrogen cream (postmenopausal), pessary (no drug)"
fracture of the arm,"acetaminophen, ibuprofen,opioid short-term,calcium + vitamin D"
coagulation (bleeding) disorder,"tranexamic acid, desmopressin,fresh frozen plasma"
intracranial hemorrhage,"mannitol, anticonvulsants (levetiracetam),reversal agents (if on anticoagulant)"
hyperkalemia,"calcium gluconate, insulin + glucose,sodium polystyrene sulfonate,kayexalate"
cornea infection,"moxifloxacin eye drops, tobramycin + dexamethasone,oral acyclovir (if viral)"
abscess of the lung,"clindamycin, piperacillin-tazobactam,drainage primary"
dengue fever,"acetaminophen, fluids (no aspirin/NSAIDs)"
chronic sinusitis,"amoxicillin-clavulanate, mometasone nasal spray,saline irrigation"
cholesteatoma,"antibiotics (topical), surgical removal primary"
volvulus,"antibiotics, fluids,surgical detorsion"
injury to the finger,"acetaminophen, ibuprofen,antibiotics if open"
atrial fibrillation,"apixaban, metoprolol,amiodarone,digoxin,warfarin"
pinworm infection,"mebendazole, albendazole,pyrantel pamoate"
urethral valves,"antibiotics (if UTI), supportive,surgical ablation"
open wound of the neck,"antibiotics (cephalexin), tetanus toxoid,analgesics"
achalasia,"nifedipine, isosorbide dinitrate,botulinum toxin injection"
conductive hearing loss,"no primary medication, surgical or hearing aid"
abdominal hernia,"antibiotics if strangulated, surgery primary"
cerebral palsy,"baclofen, diazepam,botulinum toxin,physical therapy adjunct"
marijuana abuse,"supportive (no specific), naltrexone (off-label)"
cryptococcosis,"amphotericin B + flucytosine, fluconazole"
obesity,"orlistat, phentermine,liraglutide,semaglutide"
indigestion,"omeprazole, ranitidine,calcium carbonate,simethicone"
bursitis,"ibuprofen, naproxen,corticosteroid injection"
esophageal cancer,"fluorouracil + cisplatin, chemotherapy regimens,surgery/radiation primary"
pulmonary congestion,"furosemide, spironolactone,enalapril"
juvenile rheumatoid arthritis,"methotrexate, etanercept,ibuprofen,prednisone"
actinic keratosis,"5-fluorouracil cream, imiquimod,ingenol mebutate"
acute otitis media,"amoxicillin, cefdinir,acetaminophen,ibuprofen"
astigmatism,no medication (glasses/lasik)
tuberous sclerosis,"everolimus, sirolimus,antiepileptics (vigabatrin)"
empyema,"antibiotics (vancomycin + piperacillin-tazobactam), drainage"
presbyacusis,no medication (hearing aids)
neonatal jaundice,"phototherapy, phenobarbital (rare)"
chronic obstructive pulmonary disease (copd),"tiotropium, albuterol,fluticasone + salmeterol,roflumilast"
dislocation of the elbow,"acetaminophen, ibuprofen,opioid short-term,reduction primary"
spondylosis,"ibuprofen, gabapentin,pregabalin,epidural steroid injection"
herpangina,"acetaminophen, ibuprofen,supportive"
injury to the shoulder,"ibuprofen, acetaminophen,corticosteroid injection"
poisoning due to antidepressants,"supportive care, activated charcoal,sodium bicarbonate (if TCA)"
infection of open wound,"cephalexin, amoxicillin-clavulanate,doxycycline"
deep vein thrombosis (dvt),"enoxaparin, rivaroxaban,apixaban,warfarin"
protein deficiency,"protein supplements, multivitamins"
myoclonus,"clonazepam, valproate,levetiracetam"
bone spur of the calcaneous,"ibuprofen, acetaminophen,corticosteroid injection"
von willebrand disease,"desmopressin, tranexamic acid,von Willebrand factor concentrate"
open wound of the back,"antibiotics (if infected), tetanus toxoid,analgesics"
heart block,"atropine (acute), isoproterenol,pacemaker primary"
colonic polyp,no medication (polypectomy)
magnesium deficiency,"magnesium oxide, magnesium sulfate IV"
female infertility of unknown cause,"clomiphene, letrozole,gonadotropins"
pericarditis,"ibuprofen, colchicine,prednisone,aspirin (high-dose)"
attention deficit hyperactivity disorder (adhd),"methylphenidate, amphetamine salts,atomoxetine,guanfacine"
pulmonic valve disease,no specific drug (valve replacement)
tietze syndrome,"ibuprofen, naproxen,corticosteroid injection"
cranial nerve palsy,"steroids (prednisone), antivirals (if viral)"
injury to the arm,"acetaminophen, ibuprofen,opioid short-term"
conversion disorder,"SSRIs (sertraline), supportive therapy"
complex regional pain syndrome,"gabapentin, pregabalin,duloxetine,corticosteroids"
otosclerosis,no medication (surgery/stapedectomy)
injury to the trunk,"acetaminophen, ibuprofen,opioid short-term"
hypothyroidism,levothyroxine
primary insomnia,"zolpidem, eszopiclone,melatonin,trazodone"
lice,"permethrin, malathion,ivermectin (oral)"
vitamin b12 deficiency,"vitamin B12 (cyanocobalamin), folic acid"
diabetes,"metformin, insulin glargine,empagliflozin,semaglutide"
vulvodynia,"amitriptyline, gabapentin,lidocaine cream"
endometriosis,"combined oral contraceptives, leuprolide,naproxen"
vasculitis,"prednisone, cyclophosphamide,rituximab"
concussion,"acetaminophen, ibuprofen (avoid NSAIDs if bleed risk)"
oral leukoplakia,no specific drug (biopsy/excision)
chronic kidney disease,"enalapril, atorvastatin,erythropoietin,phosphate binders"
bladder disorder,"oxybutynin, tamsulosin (if outlet)"
chorioretinitis,"pyrimethamine + sulfadiazine (if toxo), steroids"
priapism,"pseudoephedrine, terbutaline,phenylephrine injection"
myositis,"prednisone, methotrexate,azathioprine"
mononucleosis,"acetaminophen, supportive (no antivirals routine)"
neuralgia,"gabapentin, carbamazepine,pregabalin,duloxetine"
polycystic kidney disease,"tolvaptan, lisinopril"
bipolar disorder,"lithium, valproate,quetiapine,lamotrigine"
amyloidosis,"chemotherapy (bortezomib), supportive"
chronic inflammatory demyelinating polyneuropathy (cidp),"prednisone, IVIG,plasma exchange"
