diseases,description
panic disorder,Panic disorder is a serious anxiety condition marked by sudden; recurrent and unexpected panic attacks involving intense fear or discomfort that peaks within minutes. These attacks include physical symptoms such as rapid heartbeat; sweating; trembling; shortness of breath; chest pain; dizziness; and a sense of impending doom or loss of control; even without real danger. People often develop persistent worry about future attacks and may avoid situations where attacks previously occurred; leading to significant impairment in daily life; work; and relationships. The exact cause involves a combination of genetic factors; brain chemistry imbalances involving serotonin and norepinephrine; and environmental stressors or trauma. Early diagnosis and treatment with therapy and medication can greatly improve quality of life and reduce the frequency of attacks.
vocal cord polyp,Vocal cord polyp is a benign; non-cancerous growth that forms on one or both vocal cords; typically due to voice overuse; irritation from acid reflux; smoking; or chronic coughing. It appears as a soft; swollen mass that disrupts normal vibration of the vocal folds; resulting in persistent hoarseness; breathy or raspy voice; vocal fatigue; and sometimes difficulty breathing if the polyp is large. Unlike nodules; polyps are usually unilateral and more vascular. They can interfere with singing; speaking; or daily communication and; in rare cases; cause airway obstruction. Diagnosis is confirmed by laryngoscopy; and while voice rest and speech therapy help; surgical removal is often required for larger or persistent polyps to restore normal voice quality.
turner syndrome,Turner syndrome is a chromosomal disorder affecting females caused by the partial or complete absence of one X chromosome; leading to a wide range of developmental and medical issues. Key features include short stature; delayed or absent puberty due to ovarian failure; infertility; heart defects such as coarctation of the aorta; kidney abnormalities; hearing loss; and distinctive physical traits like a webbed neck; low-set ears; and widely spaced nipples. Additional problems can involve learning difficulties; especially in spatial and math skills; autoimmune conditions like thyroid disease; and osteoporosis risk from estrogen deficiency. It occurs randomly during conception and affects about 1 in 2;500 girls. Lifelong hormone replacement; growth hormone therapy; and regular cardiac and endocrine monitoring are essential for optimal health and development.
cryptorchidism,Cryptorchidism; also known as undescended testicle; is a common congenital condition in newborn boys where one or both testicles fail to descend from the abdomen into the scrotum before birth. It increases the risk of infertility; testicular cancer; and testicular torsion later in life if uncorrected. The condition may be unilateral or bilateral and is often linked to premature birth; low birth weight; or hormonal imbalances during fetal development. Most cases resolve spontaneously within the first few months; but persistent cases require surgical orchiopexy by age 1-2 years to preserve fertility and reduce cancer risk. Regular monitoring is important as the undescended testicle can affect normal testicular function and hormone production.
poisoning due to ethylene glycol,Poisoning due to ethylene glycol occurs when someone ingests this sweet-tasting chemical commonly found in antifreeze; leading to severe metabolic acidosis and multi-organ damage. Initial symptoms mimic alcohol intoxication including drunkenness; nausea; and vomiting; followed by rapid breathing; heart failure; kidney failure; seizures; coma; and potentially death within 24-72 hours if untreated. The toxic metabolites damage the kidneys; brain; and heart. It is a medical emergency requiring immediate hospital care with fomepizole or ethanol to block metabolism; bicarbonate to correct acidosis; and hemodialysis to remove the toxin. Prevention focuses on safe storage of household chemicals away from children and pets.
atrophic vaginitis,Atrophic vaginitis; also called genitourinary syndrome of menopause; is a chronic condition caused by decreased estrogen levels after menopause or certain medical treatments; resulting in thinning; drying; and inflammation of the vaginal walls. Symptoms include vaginal dryness; itching; burning; painful intercourse (dyspareunia); urinary urgency; and recurrent urinary tract infections. The vaginal tissue becomes fragile and less elastic; increasing risk of tears and infections. It significantly affects quality of life and sexual health but is not an infection. Treatment typically involves topical estrogen therapy; vaginal moisturizers; or ospemifene to restore tissue health and relieve discomfort.
fracture of the hand,Fracture of the hand refers to a break in any of the small bones of the hand; including metacarpals or phalanges; usually resulting from trauma such as a fall; direct blow; or crush injury. Symptoms include severe pain; swelling; bruising; deformity; limited movement; and tenderness. Depending on the location and severity; it may affect grip strength and daily activities. Proper diagnosis via X-ray is essential; and treatment ranges from splinting or casting for stable fractures to surgical fixation with plates or screws for unstable or displaced breaks. Complications like stiffness; arthritis; or malunion can occur without timely intervention and rehabilitation.
cellulitis or abscess of mouth,Cellulitis or abscess of the mouth is a bacterial infection involving the soft tissues of the mouth; often originating from dental caries; trauma; or salivary gland blockage. It causes rapid swelling; severe pain; redness; warmth; pus formation; fever; and difficulty opening the mouth or swallowing. Untreated; the infection can spread to the neck or brain; leading to life-threatening complications like Ludwig's angina or sepsis. Common bacteria include streptococci and staphylococci. Immediate medical care with antibiotics; drainage of any abscess; and sometimes hospitalization is required to prevent airway obstruction and systemic spread.
eye alignment disorder,Eye alignment disorder; medically known as strabismus; occurs when the eyes do not point in the same direction simultaneously; causing one eye to turn inward; outward; upward; or downward. It can be congenital or acquired due to muscle imbalance; nerve damage; or refractive errors. Symptoms include double vision; poor depth perception; headaches; and in children; amblyopia (lazy eye) if untreated. Long-term effects include impaired binocular vision and psychosocial issues from appearance. Treatment options include eyeglasses; patching; vision therapy; Botox injections; or surgery to realign the muscles for proper eye coordination.
headache after lumbar puncture,Headache after lumbar puncture; known as post-lumbar puncture headache; is a common complication caused by leakage of cerebrospinal fluid through the puncture site in the lower back; leading to reduced intracranial pressure. It typically begins within 48 hours and is characterized by a severe; throbbing pain that worsens when sitting or standing and improves when lying flat. Associated symptoms may include nausea; vomiting; neck stiffness; and tinnitus. Most cases resolve spontaneously within a week with conservative measures like bed rest; hydration; and caffeine; but persistent cases may require an epidural blood patch to seal the leak.
